"Variable name","Variable label"
"qb1_1total","Q.B1_1TOTAL 3 month Spend - Music total"
"qb1_1aother","Q.B1_1OTHER 3 month Spend - Music other"
"qb1_1ai","Q.B1_1Ai 3 month Spend - Music concerts or gigs"
"qb1_1aii","Q.B1_1Aii 3 month Spend - Music merchandise"
"qb1_1aiii","Q.B1_1Aiii 3 month Spend - Music tracks or albums bought on CD or vinyl"
"qb1_1aiva","Q.B1_1Aiv 3 month Spend - Music tracks or albums downloaded or streamed/accessed online"
"qb1_1ava","Q.B1_1Av 3 month Spend - Music subscriptions"
"qb1_2a","Q.B1_2A Frequency of downloading - Music"
"qb1_2b","Q.B1_2B Frequency of streaming - Music"
"qb1_2c","Q.B1_2C Frequency of sharing - Music"
"qb1_3total","Q.B1_3Total Number - Music total in the last 3 months"
"qb1_3a","Q.B1_3A Number - Music tracks downloaded in the last 3 months"
"qb1_3b","Q.B1_3B Number - Music tracks streamed in the last 3 months"
"qb1_3ab","Q.B1_3A/B Number - Music tracks downloaded or streamed in the last 3 months"
"qb1_5a","Q.B1_5A Number - Music tracks downloaded/streamed in the last 3 months - Paid for"
"qb1_5a_pro","Q.B1_5A Proportion - Music tracks downloaded/streamed in the last 3 months paid for"
"qb1_5ai","Q.B1_5Ai Number - Music tracks downloaded/streamed for free in the last 3 months"
"qb1_5ai_pro","Q.B1_5Ai Proportion - Music tracks downloaded/streamed for free in the last 3 months"
"qb1_6","Q.B1_6 Number - paid music tracks previously downloaded or streamed for free in the last 3 months"
"qb1_6_pro","Q.B1_6 Proportion - paid music tracks previously downloaded or streamed for free"
"qb1_5b","Q.B1_5B Number - Music tracks downloaded/streamed in the last 3 months already owned on disc or vinyl"
"qb1_5b_pro","Q.B1_5B Proportion - Music tracks downloaded/streamed in the last 3 months already owned on disc or vinyl"
"qb1_7b","Q.B1_7B Number - Paid music tracks downloaded or streamed legally in the last 3 months"
"qb1_7_pro_b1","Q.B1_7B Proportion - Paid music tracks downloaded or streamed legally in the last 3 months"
"qb1_7","Q.B1_7 Number - free music tracks downloaded or streamed legally in the last 3 months"
"qb1_7_pro_a1","Q.B1_7 Proportion - free music tracks downloaded or streamed legally in the last 3 months"
"qb1_7b_t","Q.B1_7B_T Number - Total music tracks downloaded or streamed music online legally in the last 3 months (Including paid illegal)"
"qb1_7_pro_b2","Q.B1_7B Proportion - Total music tracks downloaded or streamed legally in the last 3 months (Including paid illegal)"
"qb1_7_t","Q.B1_7_T Number - Total music tracks downloaded or streamed music online legally in the last 3 months (presuming paid as legal)"
"qb1_7_pro_a2","Q.B1_7 Proportion - Total music tracks downloaded or streamed legally (presuming paid as legal)"
"qb1_3c1","Q.B1_3C1 Number - Music tracks owned in digital format (amongst sharers)"
"qb1_3c2","Q.B1_3C2 Number - Music tracks shared in the last 3 months"
"qb1_3c12","Q.B1_3C1/2 Number - Owned v Shared"
"qb1_3c_pro","Q.B1_3C1/2 Proportion - music library shared in the last 3 months"
"qb1_3d","Q.B1_3D Number - Music tracks bought on CD or vinyl in the last 3 months"
"qb1_8a_01flt_a","Q.B1_8A_01 Price Sensitivity - Music Download service - 39p"
"qb1_8a_02flt_a","Q.B1_8A_02 Price Sensitivity - Music Download service - 59p"
"qb1_8a_03flt_a","Q.B1_8A_03 Price Sensitivity - Music Download service - 79p"
"qb1_8a_04flt_a","Q.B1_8A_04 Price Sensitivity - Music Download service - 99p"
"qb1_8a_05flt_a","Q.B1_8A_05 Price Sensitivity - Music Download service - ú1.19"
"qb1_8a_01a","Q.B1_8A_01 Price Sensitivity - Music Download service - 39p"
"qb1_8a_02a","Q.B1_8A_02 Price Sensitivity - Music Download service - 59p"
