"Variable name","Variable label"
"qb6_5ai","Q.B6_5Ai Number - e-Books downloaded/accessed for free in the last 3 months"
"qb6_5ai_pro","Q.B6_5Ai Proportion - Books downloaded/accessed for free in the last 3 months"
"qb6_6","Q.B6_6 Number - paid e-Books previously downloaded or accessed for free in the last 3 months"
"qb6_6_pro","Q.B6_6 Proportion - paid e-Books previously downloaded or accessed for free"
"qb6_5b","Q.B6_5B Number - e-Books downloaded/accessed in the last 3 months already owned on hardbacks and paperbacks"
"qb6_5b_pro","Q.B6_5B Proportion - e-Books downloaded/accessed in the last 3 months already owned on DVD, Blu-Ray or VHS"
"qb6_7","Q.B6_7 Number - free e-Books downloaded or accessed legally in the last 3 months"
"qb6_7_t","Q.B6_7_T Number - Total e-Books downloaded or accessed books legally in the last 3 months"
"qb6_7_pro_a","Q.B6_7 Proportion - free e-Books downloaded or accessed legally in the last 3 months"
"qb6_7_pro_b","Q.B6_7 Proportion - Total e-Books downloaded or accessed legally in the last 3 months"
"qb6_3c","Q.B6_3C Number - e-Books shared in the last 3 months"
"qb6_3d","Q.B6_3D Number - Books bought on hardback or paperback in the last 3 months"
"qb6_8a_01flt_a","Q.B6_8A_01 Price Sensitivity - e-Books Download service - ú2"
"qb6_8a_02flt_a","Q.B6_8A_02 Price Sensitivity - e-Books Download service - ú4"
"qb6_8a_03flt_a","Q.B6_8A_03 Price Sensitivity - e-Books Download service - ú6"
"qb6_8a_04flt_a","Q.B6_8A_04 Price Sensitivity - e-Books Download service - ú8"
"qb6_8a_05flt_a","Q.B6_8A_05 Price Sensitivity - e-Books Download service - ú10"
"qb6_8a_01a","Q.B6_8A_01 Price Sensitivity - e-Books Download service - ú2"
"qb6_8a_02a","Q.B6_8A_02 Price Sensitivity - e-Books Download service - ú4"
"qb6_8a_03a","Q.B6_8A_03 Price Sensitivity - e-Books Download service - ú6"
"qb6_8a_04a","Q.B6_8A_04 Price Sensitivity - e-Books Download service - ú8"
"qb6_8a_05a","Q.B6_8A_05 Price Sensitivity - e-Books Download service - ú10"
"qb6_8a_01e","Q.B6_8A_01 Price Sensitivity - e-Books Download service - ú2"
"qb6_8a_02e","Q.B6_8A_02 Price Sensitivity - e-Books Download service - ú4"
"qb6_8a_03e","Q.B6_8A_03 Price Sensitivity - e-Books Download service - ú6"
"qb6_8a_04e","Q.B6_8A_04 Price Sensitivity - e-Books Download service - ú8"
"qb6_8a_05e","Q.B6_8A_05 Price Sensitivity - e-Books Download service - ú10"
"qb6_8a_01f","Q.B6_8A_01 Price Sensitivity - e-Books Download service - ú2"
"qb6_8a_02f","Q.B6_8A_02 Price Sensitivity - e-Books Download service - ú4"
"qb6_8a_03f","Q.B6_8A_03 Price Sensitivity - e-Books Download service - ú6"
"qb6_8a_04f","Q.B6_8A_04 Price Sensitivity - e-Books Download service - ú8"
"qb6_8a_05f","Q.B6_8A_05 Price Sensitivity - e-Books Download service - ú10"
"qb6_8b_01flt_a","Q.B6_8B_01 Price Sensitivity - e-books Subscription service - ú5"
"qb6_8b_02flt_a","Q.B6_8B_02 Price Sensitivity - e-books Subscription service - ú7.50"
"qb6_8b_03flt_a","Q.B6_8B_03 Price Sensitivity - e-books Subscription service - ú10"
"qb6_8b_04flt_a","Q.B6_8B_04 Price Sensitivity - e-books Subscription service - ú12.50"
"qb6_8b_05flt_a","Q.B6_8B_05 Price Sensitivity - e-books Subscription service - ú15"
"qb6_8b_01a","Q.B6_8B_01 Price Sensitivity - e-books Subscription service - ú5"
"qb6_8b_02a","Q.B6_8B_02 Price Sensitivity - e-books Subscription service - ú7.50"
"qb6_8b_03a","Q.B6_8B_03 Price Sensitivity - e-books Subscription service - ú10"
"qb6_8b_04a","Q.B6_8B_04 Price Sensitivity - e-books Subscription service - ú12.50"
"qb6_8b_05a","Q.B6_8B_05 Price Sensitivity - e-books Subscription service - ú15"
"qb6_8b_01e","Q.B6_8B_01 Price Sensitivity - e-books Subscription service - ú5"
"qb6_8b_02e","Q.B6_8B_02 Price Sensitivity - e-books Subscription service - ú7.50"
"qb6_8b_03e","Q.B6_8B_03 Price Sensitivity - e-books Subscription service - ú10"
"qb6_8b_04e","Q.B6_8B_04 Price Sensitivity - e-books Subscription service - ú12.50"
"qb6_8b_05e","Q.B6_8B_05 Price Sensitivity - e-books Subscription service - ú15"
"qb6_8b_01f","Q.B6_8B_01 Price Sensitivity - e-books Subscription service - ú5"
"qb6_8b_02f","Q.B6_8B_02 Price Sensitivity - e-books Subscription service - ú7.50"
"qb6_8b_03f","Q.B6_8B_03 Price Sensitivity - e-books Subscription service - ú10"
"qb6_8b_04f","Q.B6_8B_04 Price Sensitivity - e-books Subscription service - ú12.50"
"qb6_8b_05f","Q.B6_8B_05 Price Sensitivity - e-books Subscription service - ú15"
"qbx_1total","Q.BX_1TOTAL (Combined files of interest) 3 month Spend - Total"
"qbx_ai","Q.BX_Ai (Combined files of interest) 3 month Spend - Physical copies"
"qbx_aii","Q.BX_Aii (Combined files of interest) 3 month Spend - Individual online purchases (downloads/streams)"
"qbx_aiii","Q.BX_Aiii (Combined files of interest) 3 month Spend - Online purchases + Subscriptions"
"qbx_av","Q.BX_Av (Combined files of interest) 3 month Spend - Other"
"qbx_3total","Q.Bx_3TOTAL (Combined files of interest) Number - Summary Total in the last 3 months"
"qbx_3a_tot","Q.Bx_3A (Combined files of interest) Number - content types of interest downloaded in the last 3 months"
"qbx_3b_tot","Q.Bx_3B Number - content types of interest streamed/accessed in the last 3 months"
"qbx_3ab_tot","Q.Bx_3A/B (Combined files of interest) Number - content types of interest downloaded or streamed/accessed in the last 3 months"
"qbx_5a_tot","Q.Bx_5A (Combined files of interest) Number - content types of interest downloaded or streamed/accessed in the last 3 months - Paid for"
"qbx_5ai_tot","Q.Bx_5Ai (Combined files of interest) Number - content types of interest downloaded or streamed/accessed for free in the last 3 months"
"qbx_5a_pro","Q.Bx_5A (Combined files of interest) Proportion - content types of interest downloaded/streamed/accessed in the last 3 months - paid for"
"qbx_5ai_pro","Q.Bx_5Ai (Combined files of interest) Proportion - content types of interest downloaded/streamed/accessed for free in the last 3 months"
"qbx_6_num","Q.Bx_6 (Combined files of interest) Number - paid content types of interest previously downloaded or streamed/accessed for free"
"qbx_6_pro","Q.Bx_6 (Combined files of interest) Proportion - paid content types of interest previously downloaded or streamed/accessed for free"
"qbx_5b_tot","Q.Bx_5B (Combined files of interest) Number - downloaded/accessed/streamed content types of interest in the last 3 months already owned in physical format"
"qbx_5b_pro","Q.Bx_5B (Combined files of interest) Proportion - downloaded/streamed/accessed content types of interest in the last 3 months already owned in physical format"
"qbx_7b_a","Q.Bx_7B (Combined files of interest) Number - paid content types of interest downloaded or streamed/accessed legally in the last 3 months"
"qbx_7b_pro","Q.Bx_7B (Combined files of interest) Proportion - paid content types of interest downloaded or streamed/accessed legally in the last 3 months"
"qbx_7a_a","Q.Bx_7 (Combined files of interest) Number - free content types of interest downloaded or streamed/accessed legally in the last 3 months"
"qbx_7_pro_a","Q.Bx_7 (Combined files of interest) Proportion - free content types of interest downloaded or streamed/accessed legally in the last 3 months"
"qbx_7a_b","Q.Bx_7 (Combined files of interest) Number - total content types of interest downloaded or streamed/accessed legally in the last 3 months (including paid illegal)"
"qbx_7_pro_b","Q.Bx_7 (Combined files of interest) Proportion - total content types of interest downloaded or accessed legally in the last 3 months (including paid illegal)"
"qbx_7a_ab","Q.Bx_7 (Combined files of interest) Number - total content types of interest downloaded or streamed/accessed legally in the last 3 months (presuming paid as legal)"
"qbx_7_pro_ab","Q.Bx_7 (Combined files of interest) Proportion - total content types of interest downloaded or accessed legally in the last 3 months (presuming paid as legal)"
"qbx_3c","Q.Bx_3C (Combined files of interest) Number - content types of interest shared in the last 3 months"
"qbx_3d","Q.Bx_3D (Combined files of interest) Number - content types of interest bought in physical format in the last 3 months"
"q301","4OD"
"q302","7 Digital"
"q303","Amazon \ Amazon mp3 \ Kindle"
"q304","BBC iPlayer"
"q305","Blinkbox"
"q306","Demand 5"
"q307","eMusic"
"q308","Google Play \ Android Marketplace"
"q309","HMV Digital"
"q310","iTunes \ App Store \ ibookstore \ Apple Store"
"q311","ITV Player"
"q312","Last FM"
"q313","Lovefilm"
"q314","Miniclip"
"q315","Napster"
"q316","Netflix"
"q317","Play.com"
"q318","Samsung Movie Store"
"q319","Sky Go"
"q320","Sony Entertainment Network - Music Unlimited<br/>\ Video Unlimited \ Playstation Network"
"q321","Spotify"
"q322","Steam"
"q323","We7"
"q324","Xbox Live"
"q325","YouTube"
"q326","Zune"
"q327","Other website or service"
"q328","Don't Know"
"q4a","Q.4A Agreement statement - I think that you should be able to download or access the content you want for free from the internet"
"q4b","Q.4B Agreement statement - It is easy to find content on the internet for free that would usually be paid for"
"q4c","Q.4C Agreement statement - Content that you download or access online should be cheaper than the equivalent purchased in a physical format (e.g. a CD, DVD, Blu-ray, or VHS)"
"q4d","Q.4D Agreement statement - If you had paid for a digital file you should then be able to share it with others"
"q4e","Q.4E Agreement statement - The rules governing what you can and can't do with content you purchase should be the same for both physical (e.g. a CD, DVD, Blu-ray, or VHS) and online formats"
"q4f","Q.4F Agreement statement - It is wrong to access content online without the creators\artists permission"
"q4g","Q.4G Agreement statement - The price that you pay to download or access content online is generally about right"
"q4h","Q.4H Agreement statement - I find it difficult to find legal content online"
"q501","It's easier\more convenient"
"q502","It's quicker"
"q503","It's cheaper"
"q504","I can get them for free"
"q505","The quality isn't noticeably different"
"q506","It's more up-to-date"
"q507","It's what everyone does"
"q508","I can access them more easily on the devices I have"
"q509","No physical version available"
"q510","Less clutter/storage/space issues"
"q511","Can download part (album)/just 1 song/just what I want"
"q512","I haven't downloaded anything illegal/not interested"
"q513","To try before I buy"
"q514","Other reason"
"q515","Don't know"
"q601","I'm not interested"
"q602","I prefer to have a physical copy"
"q603","I prefer to stream\access (without downloading) files"
"q604","They are too expensive"
"q605","The quality is not as good"
"q606","It is easier to buy physical copies"
"q607","I do not have a credit\debit card"
"q608","I fear that they could be illegal"
"q609","I fear they may have viruses\ malware \ spyware"
"q610","I'm unaware of the download services available"
"q611","I'm not sure how to do it"
"q612","I don't own a computer \ device capable of downloading"
"q613","Physical copies are more flexible"
"q614","I am not allowed to (by Mum or Dad)"
"q615","Computer does not have capacity/download speed"
"q616","Nothing that I wanted/needed"
"q617","Trying to save money/short of funds"
"q618","No time/busy doing other things"
"q619","Someone else does this (for me)"
"q620","Concerns about using card/payments online"
"q621","Other reason"
"q622","Don't know"
"q701","It's easier\more convenient"
"q702","It's quicker"
"q703","They are better quality"
"q704","I don't want to use illegal sites"
"q705","I think it's morally wrong to use illegal sites"
"q706","I want to support creators\industry"
"q707","I fear they may have viruses \ malware \ spyware"
"q708","I fear I might be caught"
"q709","I can afford to pay"
"q710","I prefer to pay"
"q711","I don't think it is right to get them for free"
"q712","I'm unaware of the free services available"
"q713","I don't know how to use the free services"
"q714","Free/ cheap/ part of a subscription"
"q715","Parents would not allow me to use free service"
"q716","Were not available for free"
"q717","Had gift card/voucher"
"q718","Have not done so\does not apply to me"
"q719","Other reason"
"q720","Don't know"
"q801","It's easy\convenient"
"q802","It's quick"
"q803","It's free"
"q804","It's easy to do"
"q805","It's quicker than downloading"
"q806","It's cheaper than downloading"
"q807","It means I don't have to download them"
"q808","It means I can try something before I buy it"
"q809","It's what my friends or family do"
"q810","My friends can't access files themselves"
"q811","My family can't access files themselves"
"q812","Some types of files are too expensive to buy"
"q813","For entertainment"
"q814","Don't have a TV \ radio"
"q815","To watch programmes I have missed (on TV)"
"q816","Content unavailable elsewhere"
"q817","Other reason"
"q818","Don't know"
"q901","It's easy to do"
"q902","It's only fair"
"q903","It's what everyone does"
"q904","I don't know how to share them"
"q905","My friends\family cant access files themselves"
"q906","I should be able to share my content with whomever I choose"
"q907","Unless I share content, I can't download other files myself"
"q908","Ipod (Touch)/MP3 player"
"q909","Mobile phone - no detail of internet access"
"q910","Other reason"
"q10a01","It's easy\convenient"
"q10a02","It's quick"
"q10a03","It's free"
"q10a04","It means I can try something before I buy it"
"q10a05","It's what my friends or family do"
"q10a06","Because I can"
"q10a07","I already owned content in another format"
"q10a08","I've already paid to see it\them at the cinema\in concert, etc"
"q10a09","I don't want to wait for content to become available on legal services"
"q10a10","I can't afford to pay"
"q10a11","I think legal content is too expensive"
"q10a12","I think legal content is too poor quality"
"q10a13","The files I want are not available on legal services"
"q10a14","I don't think I should have to pay for files online?"
"q10a15","The Industry makes too much money"
"q10a16","I already spend enough on content"
"q10a17","No one suffers"
"q10a18","No one ever gets caught"
"q10a19","It gives me status"
"q10a20","Wasn't sure of legality/not sure if legal or not"
"q10a21","I didn't think/know/realise it was illegal/was in error"
"q10a22","I have paid for it"
"q10a23","I have not downloaded/accessed illegally"
"q10a24","I didn't say that/give that answer (no detail)"
"q10a25","I'm confused/don't understand the question"
"q10a26","Other reason"
"q10a27","Not applicable/None"
"q10a28","Don't know"
"q10b01","If everyone else stopped doing it"
"q10b02","If legal services were better"
"q10b03","If legal services were cheaper"
"q10b04","If legal services were more convenient\flexible"
"q10b05","If everything I wanted was available legally"
"q10b06","If I thought I might be caught"
"q10b07","If I thought I might be sued"
"q10b08","If my ISP sent me a letter informing me my account had been used to infringe"
"q10b09","If my ISP sent me a letter saying they would restrict my internet speed"
"q10b10","If my ISP sent me a letter saying they would suspend my internet access"
"q10b11","If friends or family were caught"
"q10b12","If there were articles in the media about people being caught"
"q10b13","If a subscription service I was interested in became available"
"q10b14","If everything I wanted was available legally online as soon as it was released elsewhere"
"q10b15","If it is clearer what is legal and what isn't"
"q10b16","If I knew where to go to see if something was illegal or not"
"q10b17","I do not do this/do not download illegally/always use legal site"
"q10b18","Would/do not do it intentionally/if thought was illegal I wouldn't do it"
"q10b19","If I got a virus/concerned about viruses"
"q10b20","Other reason"
"q10b21","Nothing would make me stop"
"q10b22","Not applicable/None"
"q10b23","Don't know"
"q11a","Q.11A How confident are you that you know what is legal and what isn't in terms of downloading, streaming\accessing, and sharing content through the internet?"
"q11b01","Reputable/well known company or brand (including those advertised)"
"q11b02","Government approval/accreditation"
"q11b03","Security measures on site (Payment, Certificates, Terms & Conditions, Password protection, etc...)"
"q11b04","Site doesnÆt contain certain elements (Viruses, Pop up adverts, etc...)"
"q11b05","Do not (download/stream/access) illegally"
"q11b06","Do not download"
"q11b07","I'm not interested"
"q11b08","It's illegal/against the law/people shouldn't do it"
"q11b09","Free/easily accessible/quick"
"q11b10","Difficult to know if its legal or not/don't trust it"
"q11b11","(Warning) information on site"
"q11b12","Rely on other people to tell me/do it for me/word of mouth/reviews"
"q11b13","If there was industry/standard symbol/kite mark to show (clearly) it was legal"
"q11b14","If the website clearly stated that it was legal"
"q11b15","Payment/cost/price"
"q11b16","If there was a site/organisation I could go to check with listing of legal/authorised sites"
"q11b17","Previous knowledge/already know they are legal"
"q11b18","Quality/professional/official (looking) site"
"q11b19","Copyright statements"
"q11b20","Research the company"
"q11b21","Approved website/ recognised governing body"
"q11b22","Endorsements from / backed by music industry / artist / owner"
"q11b23","Don't know much about downloading / how to download"
"q11b24","Have (anti virus) software that tells me"
"q11b25","Address/ web domain"
"q11b26","Other answers"
"q11b27","None/Don't Know"
"csex","GENDER"
"cage2","AGE"
"cage6","AGE"
"cage8","AGE"
"class3","SOCIAL CLASS"
"class41","AB"
"class42","C1"
"class43","C2"
"class44","DE"
"class45","ABC1"
"class46","C2DE"
"class5","SOCIAL CLASS"
"cmari1","MARITAL STATUS"
"cwork1","WORKING STATUS"
"cwork5","WORKING STATUS"
"child2","PRESENCE OF CHILDREN"
"child51","Any"
"child52","None"
"child53","0-5 years"
"child54","6-10 years"
"child55","11-15 years"
"chsex1","Male"
"chsex2","Female"
"cads","NUMBER OF ADULTS IN HOUSEHOLD"
"chhs","HOUSEHOLD SIZE"
"cnet21","Any Home Access"
"cnet22","Any Work Access"
"cnet23","Any Other Access"
"cnet3","INTERNET ACCESS"
"cnet01","Access to the Internet at home on a computer\laptop"
"cnet02","Access to the Internet at work on a computer\laptop"
"cnet03","Access to the Internet at home on a games console"
"cnet04","Internet at home through your TV screen via a computer"
"cnet05","Internet at home directly through your TV set i.e. Smart\Connected TV)"
"cnet06","Access to the Internet via a mobile phone"
"cnet07","Access to the internet on a tablet computer e.g. iPad"
"cnet08","Access to the Internet on a Palmtop or Personal Digital Assistant (PDA)\Pocket PC"
"cnet09","Access to the Internet at school\college \university on a computer"
"cnet10","Internet access from a library on a computer"
"cnet11","Internet access in a cafÚ\bar on a computer"
"cnet12","Internet access at a friend's or relative's house on a computer"
"cnet13","Other Internet access"
"cnet14","An e-mail address at home"
"cnet15","An e-mail address at work"
"cnet16","Other e-mail address"
"cnet17","None of these"
"satcab81","Pay TV"
"satcab82","FTA only"
"satcab83","No Multi Channel"
"cphone5","PHONE"
"cten","TENURE"
"rural2","AREA"
"country1","COUNTRY"
"gor","GOVERNMENT REGIONS"
"govreg3","GOVERNMENT REGIONS"
"govreg12","GOVERNMENT REGIONS"
"ceth","ETHNICITY"
"ceth3","ETHNICITY"
"break2_int_acc","Q.D INTERNET USAGE"
"break2_device1","Any Mobile"
"break2_device2","Mobile with Internet"
"break2_device3","Computer"
"break2_device4","Tablet"
"break2_device5","Ebook reader"
"break2_device6","Games Console"
"break2_device7","Mobile games device"
"break2_tvtype1","Pay TV"
"break2_tvtype2","FTA only"
"break2_tvtype3","No Multi Channel"
"break_b1_q3c1_2","MUSIC TRACKS OWNED IN DIGITAL FORMAT (AMONGST SHARERS) (Q.B1_3C1)"
"break4_q1a_q2a1","Ever"
"break4_q1a_q2a2","Last 3 months"
"break4_q1b_q2b1","Ever"
"break4_q1b_q2b2","Last 3 months"
"break4_q1c_q2c1","Ever"
"break4_q1c_q2c2","Last 3 months"
"break4_q1abc_q2abc1","Ever"
"break4_q1abc_q2abc2","Last 3 months"
"break_music01","Downloaded"
"break_music02","Streamed"
"break_music03","Shared"
"break_music04","Downloaded or streamed (consumed)"
"break_music05","100% paid"
"break_music06","Mix of paid and free"
"break_music07","100% free"
"break_music08","Any Paid"
"break_music09","Any Free"
"break_music10","100% legal"
"break_music11","Mix of legal and illegal"
"break_music12","100% illegal"
"break_music13","Any illegal"
"break_music14","Any Legal"
"break_music_infring","TOP % MUSIC INFRINGERS"
"break_videogames01","Downloaded"
"break_videogames02","Accessed"
"break_videogames03","Shared"
"break_videogames04","100% paid"
"break_videogames05","Mix of paid and free"
"break_videogames06","100% free"
"break_videogames07","Any Paid"
"break_videogames08","Any Free"
"break_videogames09","100% legal"
"break_videogames10","Mix of legal and illegal"
"break_videogames11","100% illegal"
"break_videogames12","Any illegal"
"break_videogames13","Any Legal"
"break_videogames_infring","TOP % VIDEO GAME INFRINGERS"
"break_software01","Downloaded"
"break_software02","Accessed"
"break_software03","Shared"
"break_software04","100% paid"
"break_software05","Mix of paid and free"
"break_software06","100% free"
"break_software07","Any Paid"
"break_software08","Any Free"
"break_software09","100% legal"
"break_software10","Mix of legal and illegal"
"break_software11","100% illegal"
"break_software12","Any illegal"
"break_software13","Any Legal"
"break_software_infring","TOP % COMPUTER SOFTWARE INFRINGERS"
"break_films01","Downloaded"
"break_films02","Streamed"
"break_films03","Shared"
"break_films04","Downloaded or streamed (consumed)"
"break_films05","100% paid"
"break_films06","Mix of paid and free"
"break_films07","100% free"
"break_films08","Any Paid"
"break_films09","Any Free"
"break_films10","100% legal"
"break_films11","Mix of legal and illegal"
"break_films12","100% illegal"
"break_films13","Any illegal"
"break_films14","Any Legal"
"break_films_infring","TOP % FILM INFRINGERS"
"break_tv_prgrms01","Downloaded"
"break_tv_prgrms02","Streamed"
"break_tv_prgrms03","Shared"
"break_tv_prgrms04","100% paid"
"break_tv_prgrms05","Mix of paid and free"
"break_tv_prgrms06","100% free"
"break_tv_prgrms07","Any Paid"
"break_tv_prgrms08","Any Free"
"break_tv_prgrms09","100% legal"
"break_tv_prgrms10","Mix of legal and illegal"
"break_tv_prgrms11","100% illegal"
"break_tv_prgrms12","Any illegal"
"break_tv_prgrms13","Any Legal"
"break_tv_prgrms_infring","TOP % TV PROGRAMME INFRINGERS"
"break_books01","Downloaded"
"break_books02","Accessed"
"break_books03","Shared"
"break_books04","100% paid"
"break_books05","Mix of paid and free"
"break_books06","100% free"
"break_books07","Any Paid"
"break_books08","Any Free"
"break_books09","100% legal"
"break_books10","Mix of legal and illegal"
"break_books11","100% illegal"
"break_books12","Any illegal"
"break_books13","Any Legal"
"break_combine_101","Downloaded"
"break_combine_102","Streamed/Accessed"
"break_combine_103","Shared"
"break_combine_104","100% paid"
"break_combine_105","Mix of paid and free"
"break_combine_106","100% free"
"break_combine_107","Any Paid"
"break_combine_108","Any Free"
"break_combine_109","100% legal"
"break_combine_110","Mix of legal and illegal"
"break_combine_111","100% illegal"
"break_combine_112","Any illegal"
"break_combine_113","Any legal"
"break_combine_201","Downloaded"
"break_combine_202","Streamed/Accessed"
"break_combine_203","Shared"
"break_combine_204","100% paid"
"break_combine_205","Mix of paid and free"
"break_combine_206","100% free"
"break_combine_207","Any Paid"
"break_combine_208","Any Free"
"break_combine_209","100% legal"
"break_combine_210","Mix of legal and illegal"
"break_combine_211","100% illegal"
"break_combine_212","Any illegal"
"break_combine_213","Any legal"
"break_methodology","METHODOLOGY TYPE"
"break_methodology_week","METHODOLOGY TYPE (WEEK WISE)"
"wave","WAVE"
"top_infringers","TOP % INFRINGERS"
"illigal_seg","ILLEGAL SEGMENTS"
"legal_seg","LEGAL SEGMENTS"
"dummy","dummy"
"wts_var","Weight Variable"
"cexage","Exact age"
"qb1_1total_raw","Q.B1_1TOTAL  3 month Spend - Music total"
"qb1_1aother_raw","Q.B1_1OTHER  3 month Spend - Music other"
"qb1_1ai_raw","Q.B1_1Ai     3 month Spend - Music concerts or gigs"
"qb1_1aii_raw","Q.B1_1Aii    3 month Spend - Music merchandise"
"qb1_1aiii_raw","Q.B1_1Aiii   3 month Spend - Music tracks or albums on CD or Vinyl"
"qb1_1aiv_raw","Q.B1_1Aiv    3 month Spend - Music tracks or albums downloaded or streamed/accessed online"
"qb1_1av_raw","Q.B1_1Av     3 month Spend - Music subscriptions"
"qb2_1total_raw","Q.B2_1TOTAL 3 month Spend - Video Games total"
"qb2_1ai_raw","Q.B2_1Ai    3 month Spend - Video Games on Disc or Cartridge"
"qb2_1aii_raw","Q.B2_1Aii   3 month Spend - Video Games downloaded or accessed"
"qb2_1aiii_raw","Q.B2_1Aiii  3 month Spend - Video Games merchandise e.g. Tshirts, Mugs, Posters"
"qb3_1total_raw","Q.B3_1TOTAL 3 month Spend - Computer Software total"
"qb3_1ai_raw","Q.B3_1Ai    3 month Spend - Computer Software on disc or Cartridge"
"qb3_1aii_raw","Q.B3_1Aii   3 month Spend - Computer Software downloaded or accessed"
"qb4_1total_raw","Q.B4_1TOTAL   3 month Spend - Films total"
"qb4_1aother_raw","Q.B4_1OTHER  3 month Spend - Films Other"
"qb4_1ai_raw","Q.B4_1Ai      3 month Spend - Films watched at the cinema"
"qb4_1aii_raw","Q.B4_1Aii 3 month Spend - Rented films on DVD, Bluray, or VHS"
"qb4_1aiii_raw","Q.B4_1Aiii 3 month Spend - Films purchased on DVD, Bluray, or VHS"
"qb4_1aiv_raw","Q.B4_1Aiv     3 month Spend - Online films purchased individually"
"qb4_1av_raw","Q.B4_1Av      3 month Spend - Online film subscriptions"
"qb4_1avi_raw","Q.B4_1Avi     3 month Spend - Films purchased individually through Pay TV service"
"qb4_1avii_raw","Q.B4_1Avii 3 month Spend - Films bought or rented on DVD, Bluray or VHS"
"qb4_1aviii_raw","Q.B4_1Aviii 3 month Spend - Films merchandise e.g. T-shirts, Mugs, Posters"
"qb5_1total_raw","Q.B5_1TOTAL 3 month Spend - TV programmes total"
"qb5_1ai_raw","Q.B5_1Ai    3 month Spend - TV programmes rented on DVD, Bluray, or VHS"
"qb5_1aii_raw","Q.B5_1Aii   3 month Spend - TV programmes purchased on DVD, Bluray, or VHS"
"qb5_1aiii_raw","Q.B5_1Aiii  3 month Spend - TV programmes downloaded or streamed using an internet connection"
"qb5_1aiv_raw","Q.B5_1Aiv 3 month Spend - TV programmes bought or rented on DVD, Blu-ray or VHS"
"qb5_1av_raw","Q.B5_1Av 3 month Spend - TV programmes merchandise e.g. T-shirts, Mugs, Posters"
"qb6_1total_raw","Q.B6_1TOTAL 3 month Spend - Books total"
"qb6_1ai_raw","Q.B6_1Ai    3 month Spend - Books - paper copies"
"qb6_1aii_raw","Q.B6_1Aii   3 month Spend - e-Books - digital copies downloaded"
"qb6_1aiii_raw","Q.B6_1Aiii  3 month Spend - Books merchandise e.g. T-shirts, Mugs, posters"
"qb1_3total_raw","Q.B1_3Total Number - Music total in the last 3 months"
"qb2_3total_raw","Q.B2_3Total Number - Video Games total in the last 3 months"
"qb3_3total_raw","Q.B3_3Total Number - Computer Software total in the last 3 months"
"qb4_3total_raw","Q.B4_3Total Number - Films total in the last 3 months"
"qb5_3total_raw","Q.B5_3Total Number - TV programmes total in the last 3 months"
"qb6_3total_raw","Q.B6_3Total Number - e-Books total in the last 3 months"
"qb1_3a_raw","Q.B1_3A Number - Music tracks downloaded in the last 3 months"
"qb2_3a_raw","Q.B2_3A Number - Video Games downloaded in the last 3 months"
"qb3_3a_raw","Q.B3_3A Number - Computer Software downloaded in the last 3 months"
"qb4_3a_raw","Q.B4_3A Number - Films downloaded in the last 3 months"
"qb5_3a_raw","Q.B5_3A Number - TV programmes downloaded in the last 3 months"
"qb6_3a_raw","Q.B6_3A Number - e-Books downloaded in the last 3 months"
"qb1_3b_raw","Q.B1_3B Number - Music tracks streamed/accessed in the last 3 months"
"qb2_3b_raw","Q.B2_3B Number - Video Games accessed in the last 3 months"
"qb3_3b_raw","Q.B3_3B Number - Computer Software accessed in the last 3 months"
"qb4_3b_raw","Q.B4_3B Number - Films streamed in the last 3 months"
"qb5_3b_raw","Q.B5_3B Number - TV programmes streamed in the last 3 months"
"qb6_3b_raw","Q.B6_3B Number - e-Books accessed in the last 3 months"
"qb1_3ab_raw","Q.B1_3A/B Number - Music tracks downloaded or streamed/accessed in the last 3 months"
"qb2_3ab_raw","Q.B2_3A/B Number - Video Games downloaded or /accessed in the last 3 months"
"qb3_3ab_raw","Q.B3_3A/B Number - Computer Software downloaded or accessed in the last 3 months"
"qb4_3ab_raw","Q.B4_3A/B Number - Films downloaded or streamed in the last 3 months"
"qb5_3ab_raw","Q.B5_3A/B Number - TV programmes downloaded or streamed in the last 3 months"
"qb6_3ab_raw","Q.B6_3A/B Number - e-Books downloaded or accessed in the last 3 months"
"qb1_5a_raw","Q.B1_5A Number - Music tracks downloaded/streamed in the last 3 months - Paid for"
"qb2_5a_raw","Q.B2_5A Number - Video Games downloaded/accessed in the last 3 months - Paid for"
"qb3_5a_raw","Q.B3_5A Number - Computer Software downloaded/accessed in the last 3 months - Paid for"
"qb4_5a_raw","Q.B4_5A Number - Films downloaded/streamed in the last 3 months - Paid for"
"qb5_5a_raw","Q.B5_5A Number - TV programmes downloaded/streamed in the last 3 months - Paid for"
"qb6_5a_raw","Q.B6_5A Number - e-Books downloaded/accessed in the last 3 months - Paid for"
"qb1_5ai_raw","Q.B1_5Ai Number - Music tracks downloaded/streamed for free in the last 3 months"
"qb2_5ai_raw","Q.B2_5Ai Number - Video Games downloaded/accessed for free in the last 3 months"
"qb3_5ai_raw","Q.B3_5Ai Number - Computer Software downloaded/accessed for free in the last 3 months"
"qb4_5ai_raw","Q.B4_5Ai Number - Films downloaded/streamed for free in the last 3 months"
"qb5_5ai_raw","Q.B5_5Ai Number - TV programmes downloaded/streamed for free in the last 3 months"
"qb6_5ai_raw","Q.B6_5Ai Number - e-Books downloaded/accessed for free in the last 3 months"
